Date,Close
7/11/23,269.79
7/10/23,269.61
7/7/23,274.43
7/6/23,276.54
7/5/23,282.48
7/3/23,279.82
6/30/23,261.77
6/29/23,257.5
6/28/23,256.24
6/27/23,250.21
6/26/23,241.05
6/23/23,256.6
6/22/23,264.61
6/21/23,259.46
6/20/23,274.45
6/16/23,260.54
6/15/23,255.9
6/14/23,256.79
6/13/23,258.71
6/12/23,249.83
6/9/23,244.4
6/8/23,234.86
6/7/23,224.57
6/6/23,221.31
6/5/23,217.61
6/2/23,213.97
6/1/23,207.52
5/31/23,203.93
5/30/23,201.16
5/26/23,193.17
5/25/23,184.47
5/24/23,182.9
5/23/23,185.77
5/22/23,188.87
5/19/23,180.14
5/18/23,176.89
5/17/23,173.86
5/16/23,166.52
5/15/23,166.35
5/12/23,167.98
5/11/23,172.08
5/10/23,168.54
5/9/23,169.15
5/8/23,171.79
5/5/23,170.06
5/4/23,161.2
5/3/23,160.61
5/2/23,160.31
5/1/23,161.83
4/28/23,164.31
4/27/23,160.19
4/26/23,153.75
4/25/23,160.67
4/24/23,162.55
4/21/23,165.08
4/20/23,162.99
4/19/23,180.59
4/18/23,184.31
4/17/23,187.04
4/14/23,185
4/13/23,185.9
4/12/23,180.54
4/11/23,186.79
4/10/23,184.51
4/6/23,185.06
4/5/23,185.52
4/4/23,192.58
4/3/23,194.77
3/31/23,207.46
3/30/23,195.28
3/29/23,193.88
3/28/23,189.19
3/27/23,191.81
3/24/23,190.41
3/23/23,192.22
3/22/23,191.15
3/21/23,197.58
3/20/23,183.25
3/17/23,180.13
3/16/23,184.13
3/15/23,180.45
3/14/23,183.26
3/13/23,174.48
3/10/23,173.44
3/9/23,172.92
3/8/23,182
3/7/23,187.71
3/6/23,193.81
3/3/23,197.79
3/2/23,190.9
3/1/23,202.77
2/28/23,205.71
2/27/23,207.63
2/24/23,196.88
2/23/23,202.07
2/22/23,200.86
2/21/23,197.37
2/17/23,208.31
2/16/23,202.04
2/15/23,214.24
2/14/23,209.25
2/13/23,194.64
2/10/23,196.89
2/9/23,207.32
2/8/23,201.29
2/7/23,196.81
2/6/23,194.76
2/3/23,189.98
2/2/23,188.27
2/1/23,181.41
1/31/23,173.22
1/30/23,166.66
1/27/23,177.9
1/26/23,160.27
1/25/23,144.43
1/24/23,143.89
1/23/23,143.75
1/20/23,133.42
1/19/23,127.17
1/18/23,128.78
1/17/23,131.49
1/13/23,122.4
1/12/23,123.56
1/11/23,123.22
1/10/23,118.85
1/9/23,119.77
1/6/23,113.06
1/5/23,110.34
1/4/23,113.64
1/3/23,108.1
12/30/22,123.18
12/29/22,121.82
12/28/22,112.71
12/27/22,109.1
12/23/22,123.15
12/22/22,125.35
12/21/22,137.57
12/20/22,137.8
12/19/22,149.87
12/16/22,150.23
12/15/22,157.67
12/14/22,156.8
12/13/22,160.95
12/12/22,167.82
12/9/22,179.05
12/8/22,173.44
12/7/22,174.04
12/6/22,179.82
12/5/22,182.45
12/2/22,194.86
12/1/22,194.7
11/30/22,194.7
11/29/22,180.83
11/28/22,182.92
11/25/22,182.86
11/23/22,183.2
11/22/22,169.91
11/21/22,167.87
11/18/22,180.19
11/17/22,183.17
11/16/22,186.92
11/15/22,194.42
11/14/22,190.95
11/11/22,195.97
11/10/22,190.72
11/9/22,177.59
11/8/22,191.3
11/7/22,197.08
11/4/22,207.47
11/3/22,215.31
11/2/22,214.98
11/1/22,227.82
10/31/22,227.54
10/28/22,228.52
10/27/22,225.09
10/26/22,224.64
10/25/22,222.415
10/24/22,211.25
10/21/22,214.44
10/20/22,207.28
10/19/22,222.04
10/18/22,220.19
10/17/22,219.35
10/14/22,204.99
10/13/22,221.72
10/12/22,217.24
10/11/22,216.5
10/10/22,222.96
10/7/22,223.07
10/6/22,238.13
10/5/22,240.81
10/4/22,249.44
10/3/22,242.4
9/30/22,265.25
9/29/22,268.21
9/28/22,287.81
9/27/22,282.94
9/26/22,276.01
9/23/22,275.33
9/22/22,288.59
9/21/22,300.8
9/20/22,308.73
9/19/22,309.07
9/16/22,303.35
9/15/22,303.75
9/14/22,302.61
9/13/22,292.13
9/12/22,304.42
9/9/22,299.68
9/8/22,289.26
9/7/22,283.7
9/6/22,274.42
9/2/22,270.21
9/1/22,277.16
8/31/22,275.61
8/30/22,277.7
8/29/22,284.82
8/26/22,288.09
8/25/22,296.07
8/24/22,297.0966
8/23/22,296.4533
8/22/22,289.9133
8/19/22,296.6666
8/18/22,302.87
8/17/22,303.9966
8/16/22,306.5633
8/15/22,309.32
8/12/22,300.03
8/11/22,286.63
8/10/22,294.3566
8/9/22,283.3333
8/8/22,290.4233
8/5/22,288.17
8/4/22,308.6333
8/3/22,307.3966
8/2/22,300.5866
8/1/22,297.2766
7/29/22,297.15
7/28/22,280.9
7/27/22,274.82
7/26/22,258.86
7/25/22,268.4333
7/22/22,272.2433
7/21/22,271.7066
7/20/22,247.5
7/19/22,245.53
7/18/22,240.5466
7/15/22,240.0666
7/14/22,238.3133
7/13/22,237.04
7/12/22,233.07
7/11/22,234.3433
7/8/22,250.7633
7/7/22,244.5433
7/6/22,231.7333
7/5/22,233.0666
7/1/22,227.2633
6/30/22,224.4733
6/29/22,228.49
6/28/22,232.6633
6/27/22,244.92
6/24/22,245.7066
6/23/22,235.07
6/22/22,236.0866
6/21/22,237.0366
6/17/22,216.76
6/16/22,213.1
6/15/22,233
6/14/22,220.89
6/13/22,215.7366
6/10/22,232.23
6/9/22,239.7066
6/8/22,241.8666
6/7/22,238.8866
6/6/22,238.28
6/3/22,234.5166
6/2/22,258.3333
6/1/22,246.79
5/31/22,252.7533
5/27/22,253.21
5/26/22,235.91
5/25/22,219.6
5/24/22,209.3866
5/23/22,224.9666
5/20/22,221.3
5/19/22,236.4733
5/18/22,236.6033
5/17/22,253.87
5/16/22,241.4566
5/13/22,256.53
5/12/22,242.6666
5/11/22,244.6666
5/10/22,266.68
5/9/22,262.37
5/6/22,288.55
5/5/22,291.0933
5/4/22,317.54
5/3/22,303.0833
5/2/22,300.98
4/29/22,290.2533
4/28/22,292.5033
4/27/22,293.8366
4/26/22,292.14
4/25/22,332.6733
4/22/22,335.0166
4/21/22,336.26
4/20/22,325.7333
4/19/22,342.7166
4/18/22,334.7633
4/14/22,328.3333
4/13/22,340.79
4/12/22,328.9833
4/11/22,325.31
4/8/22,341.83
4/7/22,352.42
4/6/22,348.5866
4/5/22,363.7533
4/4/22,381.8166
4/1/22,361.53
3/31/22,359.2
3/30/22,364.6633
3/29/22,366.5233
3/28/22,363.9466
3/25/22,336.88
3/24/22,337.9733
3/23/22,333.0366
3/22/22,331.3266
3/21/22,307.0533
3/18/22,301.7966
3/17/22,290.5333
3/16/22,280.0766
3/15/22,267.2966
3/14/22,255.4566
3/11/22,265.1166
3/10/22,279.4333
3/9/22,286.3233
3/8/22,274.8
3/7/22,268.1933
3/4/22,279.43
3/3/22,279.7633
3/2/22,293.2966
3/1/22,288.1233
2/28/22,290.1433
2/25/22,269.9566
2/24/22,266.9233
2/23/22,254.68
2/22/22,273.8433
2/18/22,285.66
2/17/22,292.1166
2/16/22,307.7966
2/15/22,307.4766
2/14/22,291.92
2/11/22,286.6666
2/10/22,301.5166
2/9/22,310.6666
2/8/22,307.3333
2/7/22,302.4466
2/4/22,307.7733
2/3/22,297.0466
2/2/22,301.8866
2/1/22,310.4166
1/31/22,312.24
1/28/22,282.1166
1/27/22,276.3666
1/26/22,312.47
1/25/22,306.1333
1/24/22,310
1/21/22,314.6333
1/20/22,332.09
1/19/22,331.8833
1/18/22,343.5033
1/14/22,349.87
1/13/22,343.8533
1/12/22,368.74
1/11/22,354.8
1/10/22,352.7066
1/7/22,342.32
1/6/22,354.9
1/5/22,362.7066
1/4/22,383.1966
1/3/22,399.9266
12/31/21,352.26
12/30/21,356.78
12/29/21,362.0633
12/28/21,362.8233
12/27/21,364.6466
12/23/21,355.6666
12/22/21,336.29
12/21/21,312.8433
12/20/21,299.98
12/17/21,310.8566
12/16/21,308.9733
12/15/21,325.33
12/14/21,319.5033
12/13/21,322.1366
12/10/21,339.01
12/9/21,334.6
12/8/21,356.32
12/7/21,350.5833
12/6/21,336.3366
12/3/21,338.3233
12/2/21,361.5333
12/1/21,365
11/30/21,381.5866
11/29/21,378.9966
11/26/21,360.64
11/24/21,372
11/23/21,369.6766
11/22/21,385.6233
11/19/21,379.02
11/18/21,365.46
11/17/21,363.0033
11/16/21,351.5766
11/15/21,337.7966
11/12/21,344.4733
11/11/21,354.5033
11/10/21,355.9833
11/9/21,341.1666
11/8/21,387.6466
11/5/21,407.3633
11/4/21,409.97
11/3/21,404.62
11/2/21,390.6666
11/1/21,402.8633
10/29/21,371.3333
10/28/21,359.0133
10/27/21,345.9533
10/26/21,339.4766
10/25/21,341.62
10/22/21,303.2266
10/21/21,298
10/20/21,288.6
10/19/21,288.09
10/18/21,290.0366
10/15/21,281.01
10/14/21,272.7733
10/13/21,270.36
10/12/21,268.5733
10/11/21,263.98
10/8/21,261.83
10/7/21,264.5366
10/6/21,260.9166
10/5/21,260.1966
10/4/21,260.51
10/1/21,258.4066
9/30/21,258.4933
9/29/21,260.4366
9/28/21,259.1866
9/27/21,263.7866
9/24/21,258.13
9/23/21,251.2133
9/22/21,250.6466
9/21/21,246.46
9/20/21,243.39
9/17/21,253.1633
9/16/21,252.33
9/15/21,251.9433
9/14/21,248.1633
9/13/21,247.6666
9/10/21,245.4233
9/9/21,251.62
9/8/21,251.29
9/7/21,250.9733
9/3/21,244.5233
9/2/21,244.13
9/1/21,244.6966
8/31/21,245.24
8/30/21,243.6366
8/27/21,237.3066
8/26/21,233.72
8/25/21,237.0666
8/24/21,236.1633
8/23/21,235.4333
8/20/21,226.7533
8/19/21,224.49
8/18/21,229.6633
8/17/21,221.9033
8/16/21,228.7233
8/13/21,239.0566
8/12/21,240.75
8/11/21,235.94
8/10/21,236.6633
8/9/21,237.92
8/6/21,233.0333
8/5/21,238.21
8/4/21,236.9733
8/3/21,236.58
8/2/21,236.5566
7/30/21,229.0666
7/29/21,225.7833
7/28/21,215.66
7/27/21,214.9266
7/26/21,219.2066
7/23/21,214.46
7/22/21,216.42
7/21/21,218.43
7/20/21,220.1666
7/19/21,215.4066
7/16/21,214.74
7/15/21,216.8666
7/14/21,217.7933
7/13/21,222.8466
7/12/21,228.5666
7/9/21,218.9833
7/8/21,217.6033
7/7/21,214.8833
7/6/21,219.86
7/2/21,226.3
7/1/21,225.9733
6/30/21,226.5666
6/29/21,226.92
6/28/21,229.5733
6/25/21,223.9566
6/24/21,226.6066
6/23/21,218.8566
6/22/21,207.9033
6/21/21,206.9433
6/18/21,207.77
6/17/21,205.5333
6/16/21,201.6233
