id,date,city,state,type,ideology,subideology,group,description,image
51397,7/30/2023,North Salt Lake,UT,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, spray-painted stencils with its logo, links to its website, and messages that read: ""Patriot Front.""",
48100,7/29/2023,Austin,TX,Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential area that read: ""Every single aspect of the media is Jewish.""",
48117,7/29/2023,Baltimore,MD,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Confronting the Anti-White System.""",
48216,7/29/2023,Brevard,NC,Anti-LGBTQ+ Incident:Harassment,,,,"A benefit drag show for a brewery was postponed due to violent threats, after an individual commented on a Facebook post about the event stating ""I will die before I let that take place"" and ""I'll be damned if I'll allow a pride celebration in my hometown of Brevard. They may as well consider themselves target practice,"" along with a photo of an automatic rifle.",
48348,7/29/2023,Charlton,MA,White Supremacist Propaganda,Right Wing (White Supremacist),,Bay State Active Club,"Bay State Active Club, a white supremacist group, distributed propaganda that read: ""White Boys Trouble Makers Club"" and advertised a white supremacist website.",
48512,7/29/2023,Danville,CA,Anti-LGBTQ+ Incident:Harassment;Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed antisemitic and anti-LGBTQ+ propaganda on a trail that read: ""Every single aspect of the LGBTQ+ movement is Jewish.""",
48685,7/29/2023,Fort Worth,TX,Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential area that read: ""Every single aspect of the Biden administration is Jewish.""",
48987,7/29/2023,Lawrence,KS,Anti-LGBTQ+ Incident:Vandalism,,,,"Four individuals stole a Pride flag, destroyed property, and left behind a dead possum at a private residence. This was the second incident at this location.",
49216,7/29/2023,Morganton,NC,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Strike.""",
49291,7/29/2023,New York,NY,Anti-LGBTQ+ Incident:Assault,,,,An individual allegedly stabbed and killed another person in an anti-gay and anti-Black assault at a gas station after seeing the victim dancing. A group of men then approached the victim and told him to stop dancing while using anti-gay and anti-Black slurs. The victim confronted the men and was stabbed by one of the group members during the altercation.,
49414,7/29/2023,Pend Oreille County,WA,White Supremacist Propaganda,Right Wing (White Supremacist),,White Lives Matter (WLM),"Individuals associated with  White Lives Matter, a white supremacist group, distributed propaganda that read: ""White Lives Matter"" and ""Stop White Replacement.""",
49669,7/29/2023,San Diego,CA,Anti-LGBTQ+ Incident:Harassment;Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda on the windshields of parked cars that read: ""Every single aspect of abortion is Jewish,"" ""Every single aspect of Trump's campaign financing is Jewish,"" ""Every single aspect of the Biden administration is Jewish"" and ""Who is behind the 'Rise' in transgenderism?""",
49956,7/29/2023,Watertown,WI,Anti-LGBTQ+ Incident:Harassment;White Supremacist Event,Right Wing (White Supremacist),,"Blood Tribe,Gays Against Groomers (GAG)","Approximately 14 individuals associated with the neo-Nazi Blood Tribe and six individuals associated with the anti-LGBTQ+ extremist coalition Gays Against Groomers (GAG) protested a Pride in the Park / drag queen event. Blood Tribe carried swastika flags and a banner that read: ""Stand with us or stand with pedophiles"" and chanted: ""No pedos in our streets,"" ""There will be blood, blood, blood,"" ""Us or the pedophiles,"" and ""Pedophiles get the rope."" GAG held signs reading ""Drag is not for kids,"" ""No child is trans"" and ""Pride is not for kids.""",
49965,7/29/2023,Waynesville,NC,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Confronting the Anti-White System.""",
50068,7/29/2023,Yellowstone County,WY,White Supremacist Event,Right Wing (White Supremacist),,"Active Clubs,Patriot Front (PF),The Western Confederation","Approximately 17 individuals associated with the Wyoming Active Club, Big Sky Active Club, Great Plains Active Club, Wasatch Active Club, Las Vegas Active Club and Patriot Front, all white supremacist groups, camped in Yellowstone National Park for sparring and training.",
51084,7/29/2023,Wallingford,CT,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, hung a banner from an overpass with a link to its website and a message that read: ""Life, liberty, victory."" The group also distributed propaganda that read: ""Better dead than red,"" ""Free occu",
51270,7/29/2023,Youngstown,OH,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, spray-painted stencils with links to its website and messages that read: ""Life, liberty, victory,"" ""Reject poison,"" ""Not stolen, conquered"" and ""America first.""",
51312,7/29/2023,Concrete,PA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, spray-painted a stencil with a link to its website and a message that read: ""Life of our nation, liberty of our people, victory of the American spirit.""",
48011,7/28/2023,Akron,OH,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity.""",
48964,7/28/2023,Lake Kerr,VA,White Supremacist Propaganda,Right Wing (White Supremacist),,Sons of Virginia Active Club,"Individuals associated with Sons of Virginia Active Club, a white supremacist group, distributed propaganda that read: ""Sons of Virginia Active Club,"" ""SOVA"" and advertised a white supremacist social media channel.",
48995,7/28/2023,Leicester,MA,White Supremacist Propaganda,Right Wing (White Supremacist),,Bay State Active Club,"Bay State Active Club, a white supremacist group, distributed propaganda that read: ""White Boys Club.""",
49130,7/28/2023,McCall,ID,White Supremacist Propaganda,Right Wing (White Supremacist),,White Lives Matter (WLM),"Individuals associated with White Lives Matter (WLM), a white supremacist group, distributed propaganda that read: "" White Lives Matter No White Guilt,"" ""End the War on White Children,"" ""We Must Secure the Existence of our People"" and ""A Future for White Children.""",
49215,7/28/2023,Morgan City,LA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity.""",
49290,7/28/2023,New York,NY,Anti-LGBTQ+ Incident:Harassment,,,Gays Against Groomers (GAG),"Approximately 10 individuals associated with the anti-LGBTQ+ extremist coalition Gays Against Groomers protested a drag queen story hour at a public library where they held signs and distributed pamphlets that read: ""Drag is not for kids!,"" ""Leave the kids alone"" and ""They are [reading] books with an agenda to sexualize and gender confuse innocent children. This disgusting pedophile agenda is clearly EVIL."" ",
49590,7/28/2023,Riverside,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted fliers that read: ""100% uncensored talk radio"" and promoted the Right News. ",
51100,7/28/2023,Buford,GA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, spray-painted a stencil with a link to its website and a message that read: ""Not stolen, conquered.""",
51133,7/28/2023,Bowling Green,KY,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Two parties, one tyranny,"" ""Defend American labor"" and ""Strong families make strong nations.""",
51308,7/28/2023,Bend,OR,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, hung a banner from an overpass with a link to its website and a message that read: ""No more foreign wars.""",
51314,7/28/2023,Williamsport,PA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For the nation, against the state,"" ""America first"" and ""Not stolen, conquered.""",
